"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama","CC410a","birthyr"
162378588,"Tennessee",0,1,1,0,0,110,0,"Mitt Romney (Republican)","1948"
163423652,"Virginia",0,0,1,0,1,15,1,"Barack Obama (Democratic)","1970"
162448839,"West Virginia",1,0,1,0,1,25,0,"Mitt Romney (Republican)","1952"
163200566,"Indiana",0,0,0,1,0,25,1,"Barack Obama (Democratic)","1979"
162992124,"Oregon",1,0,1,0,0,25,NA,NA,"1958"
162511889,"California",0,1,1,0,1,130,0,"Mitt Romney (Republican)","1948"
164218967,"Pennsylvania",0,0,1,0,0,25,NA,NA,"1969"
162258987,"Virginia",0,1,1,0,1,NA,0,"Mitt Romney (Republican)","1954"
162616275,"Kansas",0,0,1,0,0,5,1,"Barack Obama (Democratic)","1971"
163535618,"New York",1,0,1,0,0,5,NA,NA,"1980"
162150702,"Arizona",1,0,0,0,1,NA,1,"Barack Obama (Democratic)","1941"
162181418,"New Jersey",0,0,1,0,0,65,0,"Mitt Romney (Republican)","1947"
162673072,"New York",0,1,1,0,1,130,0,"Mitt Romney (Republican)","1956"
166741339,"Missouri",0,0,1,0,1,90,0,"Mitt Romney (Republican)","1960"
162461810,"Ohio",0,1,1,0,0,55,0,"Mitt Romney (Republican)","1989"
162458495,"Oregon",0,1,0,0,0,25,0,"Mitt Romney (Republican)","1951"
164490060,"Massachusetts",1,0,1,0,0,425,NA,NA,"1987"
164764821,"Texas",0,1,1,0,0,25,0,"Mitt Romney (Republican)","1939"
163052703,"Mississippi",0,1,1,0,0,75,NA,NA,"1984"
162825811,"Arkansas",1,0,1,0,0,NA,1,"Barack Obama (Democratic)","1957"
164958011,"Ohio",1,0,0,1,0,5,NA,NA,"1954"
163177690,"Montana",0,0,1,0,1,90,0,"Mitt Romney (Republican)","1946"
162840512,"California",1,0,1,0,1,90,1,"Barack Obama (Democratic)","1951"
164957994,"Michigan",1,0,0,0,0,15,1,"Barack Obama (Democratic)","1983"
164038699,"Texas",1,0,1,0,0,15,NA,NA,"1957"
162999013,"Kentucky",1,0,1,0,0,45,1,"Barack Obama (Democratic)","1948"
162148403,"California",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1962"
162297136,"Arizona",0,1,1,0,1,90,0,"Mitt Romney (Republican)","1945"
